registry_id,title,issn_print,issn_online,country,region,journal_type,priority_band,active,publisher,notes
J000018,English in Australia,0155-2147,,AU,AU,literacy,core,true,Australian Association for the Teaching of English,Practitioner/scholarly mix | Deep research: AATE journal; ISSN inconsistency observed across Informit/AATE/NLA; likely underrepresented or split across records.
J000019,Geographical Education,0085-0969,,AU,AU,curriculum,core,true,Australian Geography Teachers Association,Specialist curriculum journal
J000020,History Education Research Journal,2631-9713,2631-9713,International,International,history_education,adjacent,true,UCL Press,Relevant to history education; not AU/NZ-specific
J000021,International Journal of Pedagogies and Learning,1833-4105,1833-4105,AU,AU,education,core,false,Taylor & Francis,Check active status and continuation
J000022,Issues in Educational Research,0313-7155,1837-6290,AU,AU,education,core,true,IIER,Australasian education journal
J000023,"Journal of Educational Leadership, Policy and Practice",1178-8690,1178-8704,NZ,NZ,educational_leadership,core,true,NZ educational leadership community,Formerly NZEALS journal; check title history | Deep research: NZEALS peer-reviewed journal; DOAJ-listed; direct ingest recommended.
J000024,"Journal of Open, Flexible and Distance Learning",1179-7665,1179-7673,NZ,NZ,distance_education,core,true,DEANZ/FLANZ,Core NZ/Australasian distance learning journal | Deep research: FLANZ journal; indexed in DOAJ/EBSCO/Google Scholar/Informit; strong metadata and OJS-style access.
J000025,Journal of Peer Learning,2200-2359,2200-2359,AU,AU,higher_education,core,true,University of Wollongong,Peer learning/higher education
J000026,Journal of Student Wellbeing,1835-7806,1835-7806,AU,AU,student_wellbeing,core,false,Various/archived,Check current status
J000027,Journal of University Teaching and Learning Practice,1449-9789,1449-9789,AU,AU,higher_education,core,true,University of Wollongong,Higher education teaching and learning
J000028,New Zealand Journal of Teachers' Work,1176-6662,1176-6662,NZ,NZ,teacher_education,core,true,University-based/open journal,Important NZ teacher work journal | Deep research: AUT OJS journal; free OA peer-reviewed; valuable for NZ teacher educators/practitioners.
J000029,Teachers and Curriculum,1174-2208,2382-0349,NZ,NZ,curriculum,core,true,University of Waikato,Core NZ curriculum/teacher education | Deep research: peer-reviewed online publication supported by Waikato’s Wilf Malcolm Institute; local curriculum title likely underrepresented.
J000030,Waikato Journal of Education,1173-6135,2382-0373,NZ,NZ,education,core,true,University of Waikato,"Core NZ education journal | Deep research: University of Waikato; peer-reviewed since 1995; direct harvest recommended, especially older issues/special collections."
J000031,Aotearoa New Zealand Social Work,2463-4131,2463-4131,NZ,NZ,social_work_education,adjacent,true,ANZASW,Relevant for social work education/practice
J000032,Health Education Journal,0017-8969,1748-8176,International,International,health_education,adjacent,true,SAGE,Important adjacent health education venue
J000033,Focus on Health Professional Education,2204-7662,2204-7662,AU,AU,health_professions_education,adjacent,true,ANZAHPE,Core AU/NZ health professional education
J000034,Student Success,2205-0795,2205-0795,AU,AU,higher_education,core,true,STARS/Queensland University of Technology,"Higher education student success | Deep research: OJS, peer-reviewed, OA; distinctive AU tertiary student experience/enabling pathways source."
J000035,International Journal of Work-Integrated Learning,2538-1032,2538-1032,NZ,NZ,higher_education,core,true,University of Waikato/WACE-related,Formerly Asia-Pacific Journal of Cooperative Education
J000036,Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,AU,AU,teacher_education,core,true,Taylor & Francis,Major teacher education journal
J000037,Discourse: Studies in the Cultural Politics of Education,0159-6306,1469-3739,AU,AU,education_policy_theory,core,true,Taylor & Francis,Strong Australian roots; international scope
J000038,Curriculum Perspectives,0159-7868,2367-1793,AU,AU,curriculum,core,true,Springer,"Australian Curriculum Studies Association | Deep research: ACSA journal; active since 1980; modern Springer metadata likely strong, but long backfile/platform changes merit checking."
J000039,Educational Philosophy and Theory,0013-1857,1469-5812,AU/NZ,International,education_theory,core,true,Taylor & Francis,Australasian roots; international scope
J000040,Critical Studies in Education,1750-8487,1750-8495,AU,AU,education_policy_theory,core,true,Taylor & Francis,Formerly Melbourne Studies in Education
J000041,Mathematics Teacher Education and Development,1442-3901,2203-1499,AU,AU,mathematics_teacher_education,core,true,MERGA,Deep research: MERGA journal; free-access refereed journal since 1999; association-owned; likely less completely captured than Springer MERJ; OJS/direct harvest target.
J000042,Early Childhood Folio,0112-0530,2253-2137,NZ,NZ,early_childhood,core,true,NZCER Press,Deep research: NZCER Press peer-reviewed early childhood journal; long accessible archive; distinctive NZ source.
J000043,set: Research Information for Teachers,0110-6376,2253-2145,NZ,NZ,practitioner_research,core,true,NZCER Press,"Deep research: double-blind peer-reviewed NZCER practitioner/research journal; first published 1974; 1,500+ articles online; high value for researcher discovery and practice-facing scholarship."
J000044,Assessment Matters,1176-7839,2230-617X,NZ,NZ,assessment,core,true,NZCER Press,Deep research: refereed NZCER assessment journal; archived by NZ National Library; direct-harvest target.
J000045,Evaluation Matters – He Take Tō Te Aromatawai,2423-0790,2423-0804,NZ,NZ,evaluation_policy,core,true,NZCER / ANZEA,Deep research: annual evaluation/policy journal; valuable grey-literature-adjacent source for education and public programmes.
J000046,Journal of Teaching and Learning for Graduate Employability,,1838-3815,AU,AU,higher_education,core,true,Deakin University,"Deep research: Deakin OJS journal; indexed in Scopus, Informit, Crossref and DOAJ; strong WIL/employability relevance; good DOI quality likely."
J000047,Australasian Journal of Special and Inclusive Education,2515-0731,2515-074X,AU,AU,inclusive_education,core,true,Cambridge University Press,Deep research: Cambridge OA journal; includes applied Special Education Perspectives section; useful association/practitioner-research linkage.
J000048,Australian and International Journal of Rural Education,1036-0026,1839-7387,AU,AU,rural_education,core,true,SPERA,Deep research: SPERA OJS journal; likely underrepresented because rural education is locally distinctive; straightforward OJS harvest target.
J000049,TESOL in Context,1030-8385,2209-0916,AU,AU,language_education,core,true,ACTA / Deakin OJS,Deep research: ACTA journal; DOAJ and Informit listed; strong EAL/D and multilingual education signal; reconcile print/online ISSNs.
J000050,Curriculum Matters,1177-1828,2253-2129,NZ,NZ,curriculum,core,true,NZCER Press,Deep research: peer-reviewed NZCER curriculum journal; direct ingest recommended; National Library backup useful.
J000051,Kairaranga,1175-9232,,NZ,NZ,inclusive_education_practitioner_research,core,true,New Zealand learning support / education practice community,"Deep research: NZ educational practice journal; PDF-heavy, ISSN-only older issues; ERIC indexes some run; likely underrepresented in OpenAlex."
J000052,Leading & Managing,1329-4539,2652-5577,AU,AU,educational_leadership,core,true,ACEL,Deep research: ACEL academic journal; ISSN/title/platform splits likely; more visible in Informit/local library records than topic harvesting.
J000053,Australian Universities’ Review,0818-8068,2208-5394,AU,AU,higher_education_policy,core,true,NTEU,Deep research: refereed higher education policy/debate journal; DOI practice unclear; likely underrepresented; important for sector discourse.
J000054,Journal of Catholic School Studies,1834-7258,,AU,AU,school_leadership_policy_practice,core,true,Australian Catholic University,Deep research: refereed serial formerly Studies; high local uniqueness; likely weak in global discovery; worth harvesting for Catholic-sector education.
J000055,ACCESS: Contemporary Issues in Education,0111-8889,,NZ,NZ,education_philosophy_policy,core,true,PESA,Deep research: PESA OA journal; current articles show DOIs; small but distinctive conceptual/critical education source.
J000056,Babel,0005-3503,,AU,AU,language_education_practitioner_research,core,true,AFMLTA,Deep research: professionally refereed association journal; Informit coverage 1977–2024; ERIC indexes some records; likely underrepresented in OpenAlex.
J000057,Australian Primary Mathematics Classroom,1326-0286,1839-4833,AU,AU,mathematics_education_practitioner_research,core,true,AAMT,Deep research: AAMT practitioner mathematics education journal; Informit indexed; ERIC includes articles; likely high-value missing-work source and not DOI-native.
J000058,AAMT journals cluster,,,AU,AU,mathematics_education_title_family,core,true,AAMT,Deep research: title family / cluster. Australian Mathematics Education Journal absorbs former Australian Mathematics Teacher and Australian Senior Mathematics Journal; predecessor ISSNs include 0045-0685 and 0819-4564; create title-history map before deduplication.
J000059,Teaching Science,1449-6313,1839-2946,AU,AU,science_education_practitioner_research,core,true,ASTA,Deep research: ASTA quarterly peer-reviewed journal; ERIC records; likely under-captured due to association-led practitioner-facing publication.
J000060,Practically Primary / Practical Literacy,1324-5961,2204-3667,AU,AU,literacy_practitioner_research_title_family,core,true,ALEA,Deep research: title family. Practically Primary continued by Practical Literacy: The Early and Primary Years; Informit-indexed; strong underrepresentation candidate; map as title family.
