canonical_title,alternate_historical_titles,family_id,predecessor_successor_links,print_ISSN,electronic_ISSN,country,publisher,society_or_association,active_status,OA_status,DOI_usage_quality,indexing_presence,likely_metadata_quality,hosting_platform,harvest_difficulty,likely_covered_by_OpenAlex,likely_underrepresented_in_global,hosted_via_OJS,harvestable_from_static_archives,relevance_classification,acquisition_priority,notes
English in Australia,,,,0155-2147,,AU,Australian Association for the Teaching of English,AATE,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,Practitioner/scholarly mix | Deep research: AATE journal; ISSN inconsistency observed across Informit/AATE/NLA; likely underrepresented or split across records.
Geographical Education,,,,0085-0969,,AU,Australian Geography Teachers Association,AGTA,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,Specialist curriculum journal
International Journal of Pedagogies and Learning,,,,1833-4105,1833-4105,AU,Taylor & Francis,,ceased,unknown,consistent,unknown,high,publisher platform,low,yes,no,no,no,peripheral,low,Generic pedagogy title with uncertain continuation/status. Keep out of core registry unless needed for legacy Australasian harvesting.
Issues in Educational Research,,,,0313-7155,1837-6290,AU,IIER,,active,diamond,inconsistent,unknown,medium,static archive,medium,partial,yes,unknown,yes,core,highest,Australasian education journal
"Journal of Educational Leadership, Policy and Practice",,,,1178-8690,1178-8704,NZ,NZ educational leadership community,NZEALS lineage,active,diamond,unknown,unknown,medium,OJS,high,partial,yes,yes,yes,core,high,NZEALS-lineage title with title-history uncertainty. Build authority record carefully and reconcile local indexing before routine harvesting. Verification from supplied registry/report; primary site not re-fetched in this pass.
"Journal of Open, Flexible and Distance Learning",,,,1179-7665,1179-7673,NZ,DEANZ/FLANZ,FLANZ/DEANZ,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,FLANZ/DEANZ journal. Treat as OJS-first NZ-specific title; local indexing and direct issue crawl likely outperform generic discovery. Verification from current supplied registry/report; primary-site details not re-fetched in this pass.
Journal of Peer Learning,Australasian Journal of Peer Learning,,Digital Commons archive to Volume 15 (2022) -> new journalofpeerlearning.org platform,2200-2359,2200-2359,AU,University of Wollongong,,migrated,diamond,inconsistent,Official archive and migration notice|https://ro.uow.edu.au/ajpl/,medium,Digital Commons,medium,partial,yes,no,yes,core,high,"Site migration case. Harvest legacy UOW archive first, then reconcile moved-site continuity. Evidence: https://ro.uow.edu.au/ajpl/"
Journal of Student Wellbeing,,,,1835-7806,1835-7806,AU,Various/archived,,ceased,unknown,unknown,unknown,medium,unknown,medium,partial,partial,unknown,unknown,core,high,Check current status
Journal of University Teaching and Learning Practice,,,,1449-9789,1449-9789,AU,University of Wollongong,,active,diamond,inconsistent,unknown,medium,Digital Commons,medium,partial,partial,no,yes,core,high,Higher education teaching and learning
New Zealand Journal of Teachers' Work,,,,1176-6662,1176-6662,NZ,University-based/open journal,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,NZ teacher-work and practitioner/research title. Treat as OJS-first and supplement metadata from local indexes and library catalogues where needed. Verification from supplied registry/report; primary site not re-fetched in this pass.
Teachers and Curriculum,,,,1174-2208,2382-0349,NZ,University of Waikato,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,Waikato-linked curriculum journal likely underrepresented globally. Use issue crawl plus library backup. Verification from supplied registry/report; primary site not re-fetched in this pass.
Waikato Journal of Education,,,,1173-6135,2382-0373,NZ,University of Waikato,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,NZ core education journal with special-collection complexity and likely patchier global coverage for older material. OJS/direct harvest recommended. Verification from supplied registry/report; primary site not re-fetched in this pass.
Aotearoa New Zealand Social Work,,,,2463-4131,2463-4131,NZ,ANZASW,,active,unknown,unknown,unknown,medium,unknown,medium,partial,partial,unknown,unknown,peripheral,low,Relevant to professional education only at the boundary; not a core education-journal registry title.
Focus on Health Professional Education,,,,2204-7662,2204-7662,AU,ANZAHPE,,active,unknown,unknown,unknown,medium,unknown,medium,partial,partial,unknown,unknown,adjacent,medium,Useful for AU/NZ health-professions pedagogy and WIL/employability adjacency; keep outside the core general education-journal layer.
Student Success,,,,2205-0795,2205-0795,AU,STARS/Queensland University of Technology,STARS,active,diamond,consistent,Open access and DOAJ logo|https://studentsuccessjournal.org/index.php/studentsuccess,medium,OJS,low,yes,partial,yes,yes,core,high,Current OJS journal with strong issue/article structure and explicit open-access presentation. Likely straightforward to harvest. Evidence: https://studentsuccessjournal.org/index.php/studentsuccess
International Journal of Work-Integrated Learning,Asia-Pacific Journal of Cooperative Education,F_IJWIL,Asia-Pacific Journal of Cooperative Education -> International Journal of Work-Integrated Learning,2538-1032,2538-1032,NZ,University of Waikato/WACE-related,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,high,Formerly Asia-Pacific Journal of Cooperative Education
Asia-Pacific Journal of Teacher Education,South Pacific Journal of Teacher Education,F_APJTE,South Pacific Journal of Teacher Education -> Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,AU,Taylor & Francis,ATEA,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Australasian association lineage but internationally published and well covered.
Discourse: Studies in the Cultural Politics of Education,,,,0159-6306,1469-3739,AU,Taylor & Francis,,active,unknown,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Strong Australian roots; international scope
Curriculum Perspectives,,,,0159-7868,2367-1793,AU,Springer,ACSA,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,"Australian Curriculum Studies Association | Deep research: ACSA journal; active since 1980; modern Springer metadata likely strong, but long backfile/platform changes merit checking."
Educational Philosophy and Theory,,,,0013-1857,1469-5812,AU/NZ,Taylor & Francis,PESA,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Australasian roots; international scope
Critical Studies in Education,Melbourne Studies in Education,F_CSE,Melbourne Studies in Education -> Critical Studies in Education,1750-8487,1750-8495,AU,Taylor & Francis,,active,hybrid,consistent,unknown,high,publisher platform,low,yes,no,no,no,core,high,Formerly Melbourne Studies in Education
Mathematics Teacher Education and Development,,,,1442-3901,2203-1499,AU,MERGA,MERGA,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,partial,yes,yes,core,high,Deep research: MERGA journal; free-access refereed journal since 1999; association-owned; likely less completely captured than Springer MERJ; OJS/direct harvest target.
Early Childhood Folio,,,,0112-0530,2253-2137,NZ,NZCER Press,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,NZCER Press early childhood journal. Use direct issue ingestion plus NZ National Library fallback where relevant. Verification from supplied registry/report; primary site not re-fetched in this pass.
set: Research Information for Teachers,,,,0110-6376,2253-2145,NZ,NZCER Press,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,practitioner,highest,Important NZCER practitioner/research title with large online archive. High-value for teacher-facing scholarship and likely only partly represented in global infrastructure. Verification from supplied registry/report; primary site not re-fetched in this pass.
Assessment Matters,,,,1176-7839,2230-617X,NZ,NZCER Press,,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,NZCER assessment journal; direct issue harvest advised. Verification from supplied registry/report; primary site not re-fetched in this pass.
Evaluation Matters – He Take Tō Te Aromatawai,,,,2423-0790,2423-0804,NZ,NZCER / ANZEA,ANZEA,active,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,highest,NZCER/ANZEA evaluation journal with policy-adjacent education content; annual output can be missed by broad education-topic harvesting. Verification from supplied registry/report; primary site not re-fetched in this pass.
Journal of Teaching and Learning for Graduate Employability,,,,,1838-3815,AU,Deakin University,Deakin graduate employability network,active,diamond,consistent,Scopus|https://ojs.deakin.edu.au/index.php/jtlge; Informit|https://ojs.deakin.edu.au/index.php/jtlge; Crossref|https://ojs.deakin.edu.au/index.php/jtlge; ERA|https://ojs.deakin.edu.au/index.php/jtlge,high,OJS,low,yes,partial,yes,yes,core,highest,Deakin OJS journal; explicit indexing statements make it a strong target for routine OJS + DOI harvest. Evidence: https://ojs.deakin.edu.au/index.php/jtlge
Australasian Journal of Special and Inclusive Education,Australasian Journal of Special Education; Australian Journal of Special Education,F_AJSEI,Australian Journal of Special Education (1977-1986) -> Australasian Journal of Special Education (1987-2017) -> Australasian Journal of Special and Inclusive Education (2018- ),2515-0731,2515-074X,AU,Cambridge University Press,AASE,active,gold,consistent,Cambridge title history and OA statement|https://www.cambridge.org/core/journals/australasian-journal-of-special-and-inclusive-education,high,publisher platform,low,yes,partial,no,no,core,high,Important inclusive education title with explicit predecessor history on Cambridge. Use family authority to avoid duplicate title-era records. Evidence: https://www.cambridge.org/core/journals/australasian-journal-of-special-and-inclusive-education
Australian and International Journal of Rural Education,,,,1036-0026,1839-7387,AU,SPERA,SPERA,active,diamond,inconsistent,Official SPERA journal page|https://journal.spera.asn.au/index.php/AIJRE,medium,OJS,medium,partial,yes,yes,yes,core,highest,SPERA journal with explicit print and online ISSNs and accessible OJS archive. High-value rural education source likely under-harvested by generic pipelines. Evidence: https://journal.spera.asn.au/index.php/AIJRE
TESOL in Context,,,,1030-8385,2209-0916,AU,ACTA / Deakin OJS,ACTA,active,diamond,consistent,Scopus|https://ojs.deakin.edu.au/index.php/tesol; ACTA ownership|https://ojs.deakin.edu.au/index.php/tesol,medium,OJS,low,partial,yes,yes,yes,core,highest,ACTA-owned Deakin OJS journal. Online ISSN explicit; print ISSN carried from supplied registry. Strong EAL/D and multilingual education relevance. Evidence: https://ojs.deakin.edu.au/index.php/tesol
Curriculum Matters,,,,1177-1828,2253-2129,NZ,NZCER Press,,active,diamond,unknown,unknown,medium,OJS,medium,partial,partial,yes,yes,core,high,Deep research: peer-reviewed NZCER curriculum journal; direct ingest recommended; National Library backup useful.
Kairaranga,,,,1175-9232,,NZ,New Zealand learning support / education practice community,,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,"Deep research: NZ educational practice journal; PDF-heavy, ISSN-only older issues; ERIC indexes some run; likely underrepresented in OpenAlex."
Leading & Managing,,,,1329-4539,2652-5577,AU,ACEL,ACEL,active,unknown,inconsistent,unknown,low,static archive,high,partial,yes,no,yes,practitioner,high,ACEL leadership journal with ISSN/title/platform split risk. Likely better captured through Informit/local library records than global infrastructures. Verification from supplied registry/report.
Australian Universities’ Review,,,,0818-8068,2208-5394,AU,NTEU,NTEU,active,unknown,inconsistent,unknown,low,static archive,high,partial,yes,unknown,yes,adjacent,high,"Sector policy/debate journal with higher-education relevance. Not a core education research journal, but should be included as adjacent Australasian infrastructure. Verification from supplied registry/report."
Journal of Catholic School Studies,,,,1834-7258,,AU,Australian Catholic University,,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,Catholic-sector education title likely weakly represented in global indexes and may require manual issue/PDF acquisition. Verification from supplied registry/report.
ACCESS: Contemporary Issues in Education,,,,0111-8889,,NZ,PESA,PESA,active,diamond,consistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,high,PESA open-access journal. Current registry notes indicate current articles show DOIs. Include as adjacent/core philosophy-of-education source with direct harvest. Verification primarily from supplied registry/report.
Babel,,,,0005-3503,,AU,AFMLTA,AFMLTA,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,AFMLTA association journal; likely Informit/ERIC more important than global DOI infrastructure. Prioritise manual issue-level acquisition.
Australian Primary Mathematics Classroom,,,,1326-0286,1839-4833,AU,AAMT,AAMT,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,unknown,practitioner,high,AAMT practitioner title. High value for classroom mathematics education but likely absent or fragmented in OpenAlex/Crossref. Manual or semi-manual acquisition required.
AAMT journals cluster,Australian Mathematics Education Journal; Australian Mathematics Teacher; Australian Senior Mathematics Journal; Australian Primary Mathematics Classroom,F_AAMT,Australian Mathematics Teacher 0045-0685 and Australian Senior Mathematics Journal 0819-4564 -> Australian Mathematics Education Journal 2652-7808/2652-7816 (from 2019); Australian Primary Mathematics Classroom continues as sibling title,,,AU,AAMT,AAMT,active,unknown,none,Association family history support|https://en.wikipedia.org/wiki/Australian_Association_of_Mathematics_Teachers,low,unknown,very_high,no,yes,unknown,unknown,practitioner,highest,Family authority row only. Build child-title records and predecessor/successor links before deduping article-level records. Secondary evidence available from AAMT journal-family summary: https://en.wikipedia.org/wiki/Australian_Association_of_Mathematics_Teachers
Teaching Science,,,,1449-6313,1839-2946,AU,ASTA,ASTA,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,yes,practitioner,high,ASTA practitioner/research journal likely requiring manual issue-level capture and local-index supplementation.
Practically Primary / Practical Literacy,Practically Primary; Practical Literacy: The Early and Primary Years,F_ALEA_LIT,Practically Primary 1324-5961 -> Practical Literacy: The Early and Primary Years 2204-3667,1324-5961,2204-3667,AU,ALEA,ALEA,active,unknown,none,unknown,low,static archive,very_high,no,yes,unknown,unknown,practitioner,high,Family authority row. Strong candidate for Informit-assisted manual acquisition; title split/continuation can create false duplicate or missing records.
Australian Journal of Educational Technology,,F_AJET,Predecessor to Australasian Journal of Educational Technology; 1985-2003 -> AJET from 2004,0814-673X,,AU,ASET; later ASET/ASCILITE,ASET; ASCILITE,ceased,unknown,none,History page|https://ajet.org.au/index.php/AJET/history,medium,static archive,high,partial,yes,unknown,yes,core,highest,Authority/predecessor row only. Use AJET history page for title reconciliation and legacy ISSN mapping.
International Journal of Educational Technology,IJET,F_AJET,Merged into AJET in 2007; published 1999-2002 per AJET history,,,AU/US,University of Western Australia and University of Illinois at Urbana-Champaign,,ceased,diamond,none,AJET merger history|https://ajet.org.au/index.php/AJET/history,low,static archive,very_high,no,yes,unknown,yes,adjacent,high,Merger-related authority row. Harvest only if legacy citation reconciliation is required.
e-Journal of Instructional Science and Technology,e-JIST,F_AJET,Merged into AJET in 2007,,,AU,unknown,,ceased,unknown,none,AJET merger history|https://ajet.org.au/index.php/AJET/history,low,static archive,very_high,no,yes,unknown,yes,adjacent,high,Merger-related authority row for legacy reconciliation only.
Australian Journal of Special Education,,F_AJSEI,Australian Journal of Special Education (1977-1986) -> Australasian Journal of Special Education (1987-2017),,,AU,AASE/Cambridge lineage,AASE,ceased,unknown,none,Cambridge title history|https://www.cambridge.org/core/journals/australasian-journal-of-special-and-inclusive-education,medium,static archive,high,partial,yes,no,yes,core,high,Authority/predecessor row for title-family reconciliation.
Australasian Journal of Special Education,,F_AJSEI,Continues Australian Journal of Special Education (1977-1986); continued by Australasian Journal of Special and Inclusive Education from 2018,,,AU,AASE/Cambridge lineage,AASE,ceased,unknown,inconsistent,Cambridge title history|https://www.cambridge.org/core/journals/australasian-journal-of-special-and-inclusive-education,medium,publisher platform,medium,partial,partial,no,yes,core,high,Authority/predecessor row for family continuity across 1987-2017.
New Zealand Annual Review of Education,The New Zealand Annual Review of Education Te Arotake a Tau o Te Ao o te Matauranga i Aotearoa,,Began in 1991 as VUW-NZCER collaboration; continuing,1178-3311,,NZ,Victoria University of Wellington,Victoria University of Wellington; NZCER founding collaboration,active,diamond,consistent,Current DOI examples|https://ojs.victoria.ac.nz/nzaroe; Official about page|https://ojs.victoria.ac.nz/nzaroe/about,medium,OJS,low,partial,yes,yes,yes,core,highest,Strong NZ policy/review title that should be in the registry. OJS platform and DOI-bearing recent articles make harvesting straightforward.
Journal of Academic Language and Learning,JALL,,,,,AU,Association for Academic Language and Learning,AALL,active,diamond,unknown,unknown,medium,OJS,medium,partial,yes,yes,yes,adjacent,highest,High-value missing candidate from the current registry. Association-owned higher-education learning/language journal; ISSNs and indexing were not re-verified in this pass and should be confirmed from the live journal site before bulk ingest.
Australian Mathematics Teacher,AMT,F_AAMT,Ceased and folded into Australian Mathematics Education Journal from 2019,0045-0685,,AU,AAMT,AAMT,ceased,unknown,none,AAMT family summary|https://en.wikipedia.org/wiki/Australian_Association_of_Mathematics_Teachers,low,static archive,very_high,no,yes,no,yes,practitioner,high,Predecessor authority row. Secondary evidence used for family history; confirm exact holdings and archive locations manually.
Australian Senior Mathematics Journal,ASMJ,F_AAMT,Ceased and folded into Australian Mathematics Education Journal from 2019,0819-4564,,AU,AAMT,AAMT,ceased,unknown,none,AAMT family summary|https://en.wikipedia.org/wiki/Australian_Association_of_Mathematics_Teachers,low,static archive,very_high,no,yes,no,yes,practitioner,high,Predecessor authority row. Confirm exact ISSN and holdings against library catalogues before ingest.
Practically Primary,,F_ALEA_LIT,Continued by Practical Literacy: The Early and Primary Years,1324-5961,,AU,ALEA,ALEA,ceased,unknown,none,unknown,low,static archive,very_high,no,yes,no,yes,practitioner,high,Child row under ALEA literacy family. Use Informit and manual archive acquisition.
Practical Literacy: The Early and Primary Years,,F_ALEA_LIT,Continues Practically Primary,2204-3667,,AU,ALEA,ALEA,active,unknown,none,unknown,low,static archive,very_high,no,yes,no,yes,practitioner,high,Child row under ALEA literacy family. Often likely to require Informit-assisted or manual metadata creation.
Melbourne Studies in Education,,F_CSE,Predecessor to Critical Studies in Education,,,AU,unknown,,ceased,unknown,unknown,unknown,medium,static archive,high,partial,yes,no,yes,core,medium,Authority row only. Exact ISSN/publisher not re-verified in this pass; included to prevent title-history loss around Critical Studies in Education.
South Pacific Journal of Teacher Education,,F_APJTE,Predecessor to Asia-Pacific Journal of Teacher Education,,,AU/NZ,unknown,ATEA lineage,ceased,unknown,unknown,unknown,medium,static archive,high,partial,yes,no,yes,core,medium,Authority row only; exact ISSNs and year span should be checked against publisher and library records before production ingest.
Asia-Pacific Journal of Cooperative Education,,F_IJWIL,Predecessor to International Journal of Work-Integrated Learning,,,NZ,University of Waikato/WACE-related,WACE-related,ceased,diamond,inconsistent,unknown,medium,OJS,medium,partial,yes,yes,yes,core,high,Authority row only. Needed for title continuity in WIL-related records.
